TID,Items
1,"Bread,Corn,Dill,Ice cream,Sugar,Yogurt,Chocolate"
2,Milk
3,"Apple,Butter,Dill,Ice cream,Milk,Yogurt,Chocolate"
4,"Butter,Cheese,Dill,Milk,Garlic,Onion"
5,"Apple,Bread"
6,"Apple,Bread,Butter,Cheese,Dill,Ice cream,Garlic,Broccoli,Yogurt,Chocolate"
7,"Butter,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Onion,Yogurt"
8,"Apple,Cheese,Eggs,Garlic,Sugar,Yogurt"
9,"Apple,Corn,Dill,Eggs,Ice cream,Milk,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
10,"Apple,Dill,Eggs,Ice cream,Milk,Onion,Sugar,Broccoli,Chocolate"
11,"Apple,Bread,Cheese,Ice cream,Sugar,Broccoli"
12,"Apple,Bread,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Garlic,Sugar,Yogurt,Chocolate"
13,"Onion,Broccoli,Chocolate"
14,"Ice cream,Sugar,Yogurt"
15,"Butter,Kidney Beans"
16,Yogurt
17,"Apple,Bread,Butter,Cheese,Ice cream,Garlic,Sugar"
18,"Apple,Eggs,Yogurt,Chocolate"
19,"Bread,Cheese,Kidney Beans,Sugar"
20,"Bread,Corn,Ice cream,Kidney Beans,Milk,Garlic,Sugar,Broccoli"
21,"Apple,Cheese,Ice cream,Sugar,Broccoli"
22,"Apple,Butter,Cheese,Kidney Beans,Broccoli,Yogurt"
23,"Bread,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Milk,Broccoli,Yogurt,Chocolate"
24,"Bread,Butter,Cheese,Eggs,Ice cream,Kidney Beans,Sugar,Broccoli,Chocolate"
25,"Bread,Corn,Eggs,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt"
26,"Bread,Butter,Eggs,Milk,Yogurt,Chocolate"
27,"Bread,Butter,Cheese,Corn,Kidney Beans,Milk,Broccoli,Chocolate"
28,"Bread,Butter"
29,"Bread,Butter,Kidney Beans,Milk,Garlic,Broccoli,Yogurt,Chocolate"
30,"Apple,Bread,Ice cream,Onion,Yogurt"
31,"Corn,Dill,Milk,Broccoli,Chocolate"
32,"Apple,Bread,Butter,Dill,Milk,Broccoli,Yogurt"
33,"Cheese,Eggs,Kidney Beans"
34,"Dill,Milk,Garlic,Sugar"
35,"Bread,Dill,Ice cream,Onion,Chocolate"
36,"Cheese,Dill,Eggs,Onion,Broccoli,Chocolate"
37,"Apple,Cheese,Corn,Dill,Ice cream,Kidney Beans,Garlic,Onion,Broccoli,Yogurt,Chocolate"
38,"Corn,Eggs,Ice cream,Milk,Garlic,Chocolate"
39,"Butter,Kidney Beans,Sugar"
40,"Bread,Cheese,Corn,Eggs,Ice cream,Garlic,Yogurt"
41,"Apple,Bread,Butter,Cheese,Corn,Eggs,Kidney Beans,Broccoli,Chocolate"
42,"Bread,Butter,Yogurt,Chocolate"
43,"Bread,Onion"
44,"Apple,Bread,Corn,Dill,Ice cream,Kidney Beans,Milk,Onion,Chocolate"
45,"Ice cream,Sugar"
46,"Bread,Corn,Dill,Eggs,Ice cream,Milk,Broccoli"
47,Onion
48,"Apple,Onion,Chocolate"
49,"Bread,Dill,Sugar,Yogurt,Chocolate"
50,"Bread,Butter,Cheese,Dill,Eggs,Garlic,Onion,Sugar"
51,"Apple,Butter,Cheese,Corn,Dill,Kidney Beans,Milk,Broccoli,Chocolate"
52,"Apple,Bread,Butter,Onion,Sugar,Broccoli,Chocolate"
53,"Apple,Corn,Eggs,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli"
54,"Dill,Sugar,Broccoli"
55,Apple
56,"Bread,Ice cream,Garlic,Broccoli"
57,"Bread,Corn,Dill,Kidney Beans,Milk,Garlic,Yogurt,Chocolate"
58,"Ice cream,Kidney Beans,Yogurt"
59,"Apple,Cheese,Dill,Ice cream,Kidney Beans,Milk,Garlic"
60,"Yogurt,Chocolate"
61,"Apple,Milk,Onion,Chocolate"
62,"Apple,Bread,Cheese,Kidney Beans,Milk,Garlic,Sugar,Yogurt"
63,"Bread,Butter,Cheese,Corn,Dill,Eggs,Milk,Garlic,Yogurt,Chocolate"
64,Yogurt
65,"Ice cream,Milk,Onion,Sugar,Broccoli,Chocolate"
66,"Apple,Bread,Corn,Dill,Eggs,Ice cream,Milk,Onion,Sugar,Broccoli,Yogurt"
67,"Apple,Butter,Corn,Ice cream,Kidney Beans,Garlic,Onion,Sugar,Yogurt,Chocolate"
68,"Bread,Cheese,Dill,Ice cream,Kidney Beans,Milk,Onion,Sugar,Broccoli,Yogurt,Chocolate"
69,Broccoli
70,"Bread,Cheese,Corn,Dill,Eggs,Milk,Yogurt"
71,"Dill,Ice cream,Sugar,Broccoli,Chocolate"
72,"Bread,Dill,Eggs,Ice cream,Kidney Beans,Yogurt,Chocolate"
73,"Apple,Corn,Eggs,Kidney Beans,Garlic,Sugar,Chocolate"
74,"Butter,Corn,Ice cream,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
75,Onion
76,"Apple,Bread,Cheese,Corn,Dill,Ice cream,Milk,Broccoli,Chocolate"
77,"Apple,Eggs,Ice cream,Garlic"
78,"Apple,Bread,Butter,Dill,Garlic,Onion,Yogurt,Chocolate"
79,"Cheese,Dill,Ice cream,Kidney Beans,Garlic,Onion,Sugar,Chocolate"
80,"Butter,Cheese,Ice cream,Garlic"
81,"Cheese,Eggs,Onion,Broccoli,Yogurt"
82,"Bread,Butter,Cheese,Dill,Eggs,Onion,Broccoli,Yogurt"
83,"Apple,Butter,Corn,Sugar"
84,Apple
85,"Apple,Bread,Butter,Cheese,Corn,Ice cream,Kidney Beans,Milk,Garlic,Broccoli,Yogurt"
86,"Apple,Butter,Milk,Onion,Sugar,Yogurt,Chocolate"
87,"Apple,Corn,Dill,Kidney Beans,Milk,Garlic,Chocolate"
88,"Butter,Eggs,Kidney Beans,Garlic,Onion,Sugar,Broccoli,Yogurt"
89,"Apple,Cheese,Dill,Ice cream,Chocolate"
90,"Apple,Cheese,Corn,Dill,Eggs,Kidney Beans,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
91,"Apple,Bread,Butter,Corn,Dill,Kidney Beans,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
92,"Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Onion,Yogurt,Chocolate"
93,"Apple,Butter,Corn,Dill,Onion,Sugar,Broccoli,Yogurt,Chocolate"
94,"Bread,Butter,Cheese,Corn,Eggs,Ice cream,Garlic,Onion,Yogurt,Chocolate"
95,"Apple,Dill,Milk,Garlic,Onion,Yogurt"
96,"Bread,Corn,Dill,Milk,Onion"
97,"Apple,Butter,Corn,Dill,Kidney Beans,Garlic,Yogurt"
98,Yogurt
99,"Apple,Butter,Corn,Eggs,Kidney Beans,Milk,Onion,Sugar,Broccoli,Yogurt"
100,"Bread,Butter,Cheese,Corn,Eggs,Kidney Beans,Milk,Onion,Sugar,Yogurt,Chocolate"
101,"Bread,Eggs"
102,"Bread,Butter,Cheese,Ice cream,Milk,Sugar,Chocolate"
103,"Cheese,Eggs,Sugar,Yogurt,Chocolate"
104,"Bread,Broccoli"
105,"Bread,Cheese,Eggs,Ice cream,Garlic,Onion,Sugar,Broccoli"
106,"Corn,Eggs,Milk"
107,"Apple,Cheese,Dill,Eggs,Kidney Beans,Onion,Broccoli,Chocolate"
108,"Kidney Beans,Broccoli,Yogurt"
109,Yogurt
110,Garlic
111,"Apple,Cheese,Corn,Dill,Milk,Garlic,Onion,Yogurt"
112,"Apple,Bread,Butter,Cheese,Corn,Dill,Onion,Sugar,Broccoli,Yogurt,Chocolate"
113,"Apple,Bread,Corn,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Chocolate"
114,"Butter,Eggs,Kidney Beans,Milk,Garlic,Onion"
115,"Apple,Bread,Cheese,Dill,Eggs,Garlic,Onion,Sugar,Yogurt"
116,"Apple,Cheese,Eggs,Kidney Beans"
117,"Bread,Butter,Corn,Eggs,Ice cream,Onion,Sugar,Broccoli"
118,"Apple,Bread,Butter,Cheese,Milk,Onion,Sugar,Chocolate"
119,"Apple,Cheese,Corn,Dill,Ice cream,Sugar,Yogurt"
120,"Corn,Eggs,Garlic,Onion,Broccoli,Yogurt,Chocolate"
121,"Butter,Cheese,Dill,Ice cream,Sugar"
122,"Cheese,Garlic,Onion,Yogurt"
123,"Butter,Corn,Ice cream,Kidney Beans,Broccoli,Yogurt"
124,"Bread,Corn,Dill,Eggs,Kidney Beans,Garlic,Yogurt,Chocolate"
125,Cheese
126,"Bread,Butter,Dill,Eggs,Yogurt"
127,"Apple,Ice cream,Onion,Yogurt,Chocolate"
128,"Kidney Beans,Garlic,Sugar,Chocolate"
129,"Apple,Butter,Cheese,Corn,Eggs,Milk,Garlic,Onion,Sugar,Broccoli,Yogurt"
130,"Bread,Butter,Corn,Ice cream,Kidney Beans,Milk,Garlic,Onion,Sugar,Yogurt,Chocolate"
131,"Apple,Butter,Broccoli,Yogurt,Chocolate"
132,"Apple,Bread,Butter,Dill,Milk,Garlic,Sugar,Chocolate"
133,"Apple,Cheese,Dill,Eggs,Garlic,Onion,Sugar,Broccoli,Yogurt"
134,"Cheese,Dill,Eggs,Kidney Beans,Milk,Garlic,Broccoli,Chocolate"
135,"Kidney Beans,Garlic,Sugar"
136,"Butter,Cheese,Corn,Dill,Ice cream,Kidney Beans,Garlic,Onion,Yogurt"
137,"Bread,Butter,Dill,Eggs,Ice cream,Milk,Onion,Broccoli,Yogurt,Chocolate"
138,"Apple,Corn,Dill,Eggs,Milk,Yogurt,Chocolate"
139,Kidney Beans
140,"Cheese,Corn,Kidney Beans,Milk,Onion"
141,"Apple,Butter,Cheese,Corn,Dill,Ice cream,Kidney Beans,Milk,Garlic,Sugar,Broccoli,Chocolate"
142,"Apple,Bread,Butter,Corn,Milk,Garlic,Broccoli,Yogurt"
143,"Cheese,Dill,Eggs,Broccoli"
144,"Apple,Bread,Corn,Eggs,Ice cream,Kidney Beans,Onion,Sugar,Yogurt"
145,"Kidney Beans,Milk,Garlic,Sugar,Broccoli,Yogurt"
146,"Bread,Butter,Cheese,Corn,Kidney Beans,Milk,Garlic,Onion,Sugar,Broccoli"
147,"Dill,Ice cream,Milk,Onion,Sugar"
148,"Corn,Dill,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli,Chocolate"
149,"Apple,Bread,Cheese,Eggs,Chocolate"
150,"Eggs,Garlic,Sugar,Broccoli,Yogurt"
151,"Apple,Bread,Butter,Corn,Ice cream,Garlic,Onion,Sugar,Broccoli,Yogurt"
152,"Cheese,Corn,Ice cream,Kidney Beans,Garlic,Sugar,Yogurt"
153,Kidney Beans
154,Broccoli
155,"Cheese,Kidney Beans,Milk,Sugar,Broccoli"
156,"Corn,Kidney Beans,Sugar,Broccoli"
157,"Bread,Butter,Corn,Kidney Beans,Yogurt"
158,"Apple,Butter,Dill,Eggs,Ice cream,Kidney Beans,Milk,Onion,Sugar,Yogurt"
159,Corn
160,"Apple,Corn,Milk,Garlic,Sugar"
161,Dill
162,"Corn,Eggs,Ice cream,Kidney Beans,Garlic,Broccoli,Chocolate"
163,"Eggs,Kidney Beans,Milk,Garlic,Sugar,Broccoli"
164,"Butter,Corn,Dill,Eggs,Ice cream,Milk,Onion,Sugar,Broccoli,Yogurt,Chocolate"
165,"Apple,Butter,Corn,Dill,Eggs,Ice cream,Sugar,Broccoli,Chocolate"
166,Yogurt
167,"Apple,Bread,Butter,Cheese,Corn,Eggs,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli,Chocolate"
168,"Bread,Dill,Garlic,Onion,Broccoli,Yogurt"
169,Ice cream
170,"Apple,Bread"
171,"Bread,Butter,Eggs,Ice cream,Kidney Beans,Garlic,Sugar,Chocolate"
172,"Apple,Butter,Cheese,Dill,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli,Yogurt"
173,"Onion,Chocolate"
174,"Bread,Eggs,Sugar,Chocolate"
175,"Bread,Cheese,Onion,Chocolate"
176,"Butter,Cheese,Garlic"
177,"Butter,Cheese,Dill,Eggs,Kidney Beans,Milk,Garlic,Broccoli,Yogurt"
178,"Bread,Cheese,Corn,Milk,Garlic,Sugar,Yogurt,Chocolate"
179,"Bread,Kidney Beans"
180,"Ice cream,Milk,Chocolate"
181,"Butter,Cheese,Corn,Dill,Milk,Sugar,Broccoli,Chocolate"
182,"Apple,Butter,Cheese,Eggs,Onion,Sugar,Yogurt,Chocolate"
183,"Dill,Garlic"
184,"Apple,Bread,Butter,Corn,Eggs,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt,Chocolate"
185,"Butter,Garlic,Chocolate"
186,"Butter,Cheese,Ice cream,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt,Chocolate"
187,"Apple,Butter,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt,Chocolate"
188,"Corn,Ice cream,Garlic,Onion,Broccoli,Yogurt,Chocolate"
189,"Apple,Butter,Cheese,Corn,Dill,Kidney Beans,Sugar,Broccoli,Yogurt"
190,"Apple,Bread,Corn,Dill,Kidney Beans,Milk,Garlic,Sugar,Broccoli,Yogurt,Chocolate"
191,"Apple,Cheese,Corn,Ice cream,Kidney Beans,Yogurt"
192,"Apple,Cheese,Milk"
193,"Apple,Bread,Butter,Cheese,Dill,Ice cream,Garlic,Onion,Sugar,Chocolate"
194,"Cheese,Corn,Eggs,Kidney Beans,Onion,Broccoli,Yogurt"
195,"Butter,Cheese,Dill,Eggs,Ice cream,Onion,Broccoli,Chocolate"
196,"Corn,Dill,Milk"
197,"Apple,Bread,Cheese,Corn,Dill,Eggs,Milk,Onion,Sugar,Broccoli"
198,"Bread,Butter,Cheese,Eggs,Kidney Beans,Milk,Garlic,Onion"
199,"Apple,Ice cream,Milk,Chocolate"
200,"Butter,Cheese,Dill,Ice cream,Kidney Beans,Milk,Sugar,Yogurt"
201,"Dill,Ice cream,Garlic,Onion,Chocolate"
202,"Butter,Ice cream,Milk,Sugar,Broccoli,Chocolate"
203,"Bread,Butter,Dill,Eggs,Ice cream,Kidney Beans,Milk,Onion,Broccoli"
204,"Ice cream,Broccoli"
205,"Bread,Cheese,Dill,Eggs,Ice cream,Kidney Beans,Broccoli,Yogurt"
206,"Apple,Corn,Sugar"
207,"Cheese,Corn,Milk,Sugar,Yogurt,Chocolate"
208,"Cheese,Kidney Beans,Garlic,Onion,Sugar,Broccoli"
209,"Garlic,Sugar,Broccoli,Yogurt"
210,"Bread,Butter,Cheese,Dill,Ice cream,Garlic,Onion,Broccoli,Chocolate"
211,"Apple,Bread,Butter,Corn,Dill,Eggs,Ice cream,Kidney Beans,Sugar,Yogurt"
212,"Apple,Bread,Butter,Corn,Ice cream,Kidney Beans,Chocolate"
213,"Bread,Butter,Cheese,Eggs,Milk,Garlic,Yogurt,Chocolate"
214,Eggs
215,"Butter,Eggs,Kidney Beans,Milk,Onion,Yogurt,Chocolate"
216,"Butter,Dill,Garlic,Sugar,Broccoli,Chocolate"
217,"Bread,Butter,Cheese,Corn,Eggs,Ice cream,Milk,Garlic,Onion,Chocolate"
218,"Apple,Corn,Eggs,Ice cream,Garlic"
219,"Apple,Bread,Dill,Garlic,Sugar,Broccoli"
220,"Dill,Onion"
221,"Eggs,Ice cream,Garlic,Onion,Chocolate"
222,"Apple,Bread,Eggs,Kidney Beans,Milk,Garlic,Onion,Sugar,Yogurt"
223,"Cheese,Eggs,Kidney Beans,Chocolate"
224,"Bread,Butter,Dill,Garlic,Onion,Yogurt,Chocolate"
225,"Apple,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Sugar,Broccoli"
226,"Apple,Butter,Eggs,Ice cream,Milk,Sugar"
227,"Cheese,Corn,Eggs,Sugar,Broccoli,Yogurt"
228,"Bread,Broccoli"
229,"Apple,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Garlic,Onion,Sugar,Broccoli"
230,"Apple,Corn"
231,"Bread,Corn,Dill,Milk,Chocolate"
232,"Apple,Cheese,Corn,Dill,Garlic,Sugar"
233,"Butter,Ice cream,Milk,Yogurt,Chocolate"
234,"Cheese,Corn,Garlic,Sugar"
235,"Apple,Bread"
236,Dill
237,"Ice cream,Garlic,Sugar,Broccoli"
238,"Corn,Onion"
239,"Apple,Bread,Butter,Cheese,Corn,Ice cream,Kidney Beans,Milk,Garlic,Onion,Sugar,Yogurt,Chocolate"
240,"Bread,Butter,Corn,Broccoli,Yogurt"
241,"Bread,Broccoli,Yogurt"
242,"Apple,Bread,Corn,Dill,Milk,Chocolate"
243,Dill
244,"Apple,Butter,Cheese,Ice cream,Kidney Beans,Milk,Sugar,Broccoli,Yogurt,Chocolate"
245,"Bread,Dill,Eggs,Ice cream,Sugar"
246,"Apple,Cheese,Corn,Milk,Garlic,Onion,Broccoli,Yogurt,Chocolate"
247,"Butter,Corn,Kidney Beans,Onion"
248,"Apple,Corn,Dill,Garlic,Onion"
249,"Bread,Cheese,Eggs,Milk,Garlic,Broccoli"
250,"Apple,Butter,Cheese,Ice cream,Kidney Beans,Milk,Chocolate"
251,"Butter,Corn,Dill,Eggs,Ice cream,Garlic,Onion,Yogurt,Chocolate"
252,"Apple,Bread,Butter,Cheese,Ice cream,Kidney Beans,Onion,Sugar"
253,Butter
254,"Bread,Butter,Dill,Garlic,Broccoli,Yogurt"
255,"Bread,Corn,Yogurt"
256,"Apple,Butter,Corn,Dill,Ice cream,Kidney Beans,Milk,Garlic,Onion,Chocolate"
257,"Corn,Yogurt"
258,"Apple,Butter,Cheese,Corn,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli,Chocolate"
259,Cheese
260,"Butter,Ice cream,Kidney Beans,Milk,Sugar,Broccoli,Chocolate"
261,"Corn,Eggs,Kidney Beans,Milk,Garlic"
262,"Apple,Cheese,Corn,Dill,Kidney Beans,Milk,Onion,Sugar,Broccoli,Chocolate"
263,"Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Onion,Broccoli"
264,"Apple,Cheese,Corn,Dill,Eggs,Garlic,Onion,Sugar,Broccoli,Chocolate"
265,"Corn,Dill"
266,Apple
267,"Butter,Ice cream,Kidney Beans"
268,"Apple,Bread,Cheese,Corn,Dill,Eggs,Kidney Beans,Milk,Onion,Sugar,Broccoli,Yogurt"
269,"Bread,Cheese,Corn,Ice cream,Kidney Beans,Garlic,Sugar,Broccoli,Yogurt,Chocolate"
270,Kidney Beans
271,"Apple,Bread,Corn,Milk,Garlic,Onion,Yogurt"
272,"Bread,Butter,Cheese,Corn,Eggs,Garlic,Onion,Yogurt,Chocolate"
273,"Corn,Kidney Beans,Milk,Broccoli"
274,"Apple,Bread,Cheese,Ice cream,Garlic,Onion,Broccoli"
275,"Cheese,Dill,Kidney Beans,Garlic,Onion,Sugar"
276,"Apple,Butter,Corn,Dill,Kidney Beans,Milk,Onion,Broccoli"
277,"Apple,Bread,Butter,Corn,Eggs,Ice cream,Sugar,Broccoli,Yogurt"
278,"Butter,Cheese,Eggs,Ice cream,Kidney Beans,Onion,Broccoli,Yogurt"
279,"Bread,Butter,Corn,Milk,Broccoli,Yogurt"
280,"Apple,Bread,Butter,Corn,Ice cream,Sugar,Broccoli,Yogurt"
281,"Corn,Dill,Ice cream,Milk,Garlic,Onion"
282,"Bread,Butter,Corn,Eggs,Kidney Beans,Onion,Sugar,Yogurt,Chocolate"
283,"Bread,Butter,Cheese,Onion,Sugar,Yogurt"
284,"Butter,Cheese,Corn,Ice cream,Milk,Broccoli,Yogurt"
285,"Apple,Bread,Butter,Corn,Eggs,Ice cream,Garlic,Onion,Sugar,Chocolate"
286,"Eggs,Broccoli,Yogurt"
287,"Apple,Butter,Eggs,Kidney Beans,Garlic,Sugar,Yogurt"
288,"Apple,Bread,Dill,Eggs,Ice cream,Milk,Garlic,Sugar,Yogurt,Chocolate"
289,"Apple,Bread,Butter,Dill,Kidney Beans,Milk,Garlic,Onion,Broccoli,Chocolate"
290,"Bread,Cheese,Dill,Milk,Onion,Chocolate"
291,"Butter,Cheese,Corn,Eggs,Ice cream,Kidney Beans,Yogurt,Chocolate"
292,"Apple,Bread,Dill,Milk,Onion,Sugar,Broccoli,Chocolate"
293,"Butter,Cheese,Dill,Eggs,Kidney Beans,Garlic,Broccoli,Chocolate"
294,"Butter,Corn,Eggs,Kidney Beans,Garlic,Onion,Yogurt,Chocolate"
295,"Butter,Cheese,Corn,Dill,Ice cream,Kidney Beans,Milk,Onion,Chocolate"
296,"Apple,Butter,Cheese,Sugar,Broccoli,Yogurt,Chocolate"
297,"Apple,Cheese,Corn,Chocolate"
298,"Cheese,Corn,Dill,Ice cream,Garlic,Onion,Broccoli,Yogurt,Chocolate"
299,"Apple,Corn,Kidney Beans"
300,"Apple,Cheese,Eggs,Ice cream,Kidney Beans,Milk,Onion,Sugar,Broccoli,Yogurt,Chocolate"
301,"Bread,Cheese,Dill,Eggs,Kidney Beans,Garlic,Sugar,Yogurt,Chocolate"
302,"Bread,Cheese,Chocolate"
303,"Apple,Cheese,Corn,Dill,Eggs,Ice cream,Onion,Sugar,Yogurt"
304,"Bread,Corn,Eggs,Garlic,Onion,Broccoli,Chocolate"
305,"Cheese,Corn,Ice cream,Garlic,Sugar"
306,"Dill,Kidney Beans"
307,"Apple,Butter,Eggs,Kidney Beans,Milk,Garlic,Sugar,Yogurt"
308,"Apple,Butter,Corn,Eggs,Milk,Garlic,Onion,Sugar,Yogurt,Chocolate"
309,"Apple,Butter,Cheese,Corn,Ice cream,Kidney Beans,Onion,Broccoli"
310,"Corn,Dill,Ice cream,Milk,Sugar,Broccoli,Chocolate"
311,"Apple,Dill,Ice cream,Kidney Beans,Chocolate"
312,"Apple,Butter,Cheese,Dill,Eggs,Milk,Sugar,Chocolate"
313,"Butter,Corn,Dill,Ice cream,Kidney Beans,Milk,Garlic,Sugar,Yogurt"
314,"Apple,Bread,Butter,Cheese,Dill,Eggs,Milk,Onion,Sugar"
315,"Apple,Bread,Corn,Dill,Eggs,Ice cream,Milk,Onion,Sugar,Broccoli,Yogurt,Chocolate"
316,"Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Yogurt,Chocolate"
317,"Apple,Butter,Cheese,Eggs,Kidney Beans,Garlic,Onion"
318,"Bread,Cheese,Corn,Kidney Beans,Milk,Sugar,Yogurt"
319,"Corn,Eggs,Broccoli,Yogurt,Chocolate"
320,"Cheese,Dill,Ice cream,Kidney Beans,Sugar,Yogurt,Chocolate"
321,"Bread,Cheese,Corn,Dill,Ice cream,Kidney Beans,Onion"
322,"Dill,Eggs,Onion,Broccoli,Chocolate"
323,"Dill,Onion,Yogurt"
324,"Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Garlic,Onion,Broccoli,Yogurt"
325,"Butter,Dill,Eggs,Ice cream,Garlic,Chocolate"
326,"Apple,Butter,Eggs,Milk,Garlic,Onion,Sugar,Broccoli"
327,"Apple,Bread,Butter,Corn,Eggs,Ice cream,Garlic,Onion,Sugar,Broccoli,Yogurt,Chocolate"
328,"Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Onion,Yogurt"
329,"Apple,Butter,Corn,Kidney Beans,Milk,Onion,Broccoli"
330,"Bread,Dill,Kidney Beans,Onion,Sugar,Broccoli,Yogurt"
331,"Apple,Butter,Cheese,Kidney Beans,Sugar"
332,"Cheese,Ice cream,Onion,Yogurt"
333,"Bread,Butter,Dill,Ice cream,Milk,Garlic,Onion,Sugar,Chocolate"
334,"Butter,Cheese,Ice cream,Kidney Beans,Garlic,Broccoli,Yogurt"
335,"Apple,Butter,Corn,Ice cream,Kidney Beans,Onion,Sugar,Broccoli"
336,"Apple,Bread,Cheese,Corn,Eggs,Kidney Beans,Milk,Broccoli"
337,"Cheese,Milk,Garlic,Sugar,Broccoli,Yogurt,Chocolate"
338,"Bread,Cheese,Chocolate"
